iter	Passed	Remaining
0	5	2078
1	9	1814
2	12	1647
3	15	1567
4	19	1522
5	22	1496
6	26	1473
7	29	1452
8	33	1437
9	36	1425
10	40	1420
11	43	1406
12	46	1398
13	50	1388
14	53	1378
15	57	1369
16	60	1364
17	63	1356
18	67	1350
19	70	1346
20	74	1337
21	77	1326
22	80	1315
23	83	1305
24	86	1296
25	89	1289
26	92	1279
27	95	1270
28	98	1262
29	101	1255
30	104	1248
31	108	1242
32	111	1236
33	114	1228
34	117	1222
35	120	1216
36	123	1210
37	126	1205
38	129	1201
39	132	1194
40	135	1190
41	139	1186
42	142	1180
43	145	1174
44	148	1169
45	151	1165
46	154	1161
47	157	1156
48	160	1151
49	163	1146
50	166	1141
51	170	1138
52	173	1133
53	176	1128
54	179	1124
55	182	1119
56	185	1115
57	188	1112
58	191	1108
59	194	1104
60	198	1100
61	201	1096
62	204	1092
63	207	1089
64	210	1084
65	213	1081
66	216	1076
67	219	1072
68	222	1068
69	225	1064
70	228	1060
71	232	1057
72	235	1053
73	238	1049
74	241	1045
75	244	1041
76	247	1037
77	250	1033
78	253	1030
79	256	1026
80	259	1022
81	262	1018
82	265	1015
83	268	1011
84	272	1008
85	275	1004
86	278	1000
87	281	996
88	284	993
89	287	989
90	290	985
91	293	982
92	296	978
93	299	974
94	302	970
95	305	967
96	308	963
97	311	960
98	314	957
99	318	955
100	322	953
101	325	951
102	328	947
103	331	944
104	334	940
105	337	936
106	340	933
107	343	929
108	347	927
109	350	923
110	353	920
111	356	916
112	359	913
113	362	909
114	365	906
115	368	902
116	371	898
117	374	895
118	377	891
119	380	888
120	383	885
121	386	881
122	389	878
123	393	874
124	396	871
125	399	868
126	402	864
127	405	861
128	408	857
129	411	854
130	414	851
131	417	847
132	420	844
133	423	841
134	426	837
135	429	834
136	432	830
137	435	827
138	438	823
139	441	820
140	444	817
141	447	813
142	451	810
143	454	807
144	457	803
145	460	800
146	463	797
147	466	793
148	469	790
149	472	787
150	475	784
151	479	781
152	482	778
153	485	774
154	488	771
155	491	768
156	494	765
157	497	761
158	500	758
159	503	755
160	506	751
161	509	748
162	513	745
163	516	742
164	519	739
165	522	736
166	525	732
167	528	729
168	531	726
169	534	722
170	537	719
171	540	716
172	543	713
173	546	709
174	549	706
175	552	703
176	555	700
177	558	697
178	562	693
179	564	690
180	568	687
181	571	684
182	574	680
183	577	677
184	580	674
185	583	671
186	587	668
187	590	665
188	593	662
189	596	659
190	599	656
191	602	652
192	605	649
193	608	646
194	612	643
195	614	640
196	618	636
197	621	633
198	624	631
199	628	628
200	631	624
201	634	621
202	637	618
203	640	615
204	643	612
205	647	609
206	650	606
207	654	603
208	657	600
209	660	597
210	663	594
211	666	591
212	669	588
213	673	585
214	676	581
215	679	578
216	682	575
217	685	572
218	688	568
219	691	565
220	694	562
221	697	559
222	700	555
223	703	552
224	706	549
225	709	546
226	712	543
227	716	540
228	719	536
229	722	533
230	725	530
231	728	527
232	731	524
233	734	520
234	737	517
235	740	514
236	743	511
237	746	507
238	749	504
239	752	501
240	755	498
241	758	495
242	761	491
243	764	488
244	767	485
245	771	482
246	774	479
247	777	476
248	780	473
249	783	469
250	786	466
251	789	463
252	792	460
253	795	457
254	798	453
255	801	450
256	804	447
257	807	444
258	810	441
259	813	438
260	816	434
261	820	432
262	824	429
263	827	426
264	830	423
265	833	420
266	836	416
267	839	413
268	842	410
269	845	407
270	848	404
271	851	400
272	854	397
273	857	394
274	860	391
275	863	388
276	867	385
277	870	381
278	873	378
279	876	375
280	879	372
281	882	369
282	885	365
283	888	362
284	891	359
285	894	356
286	897	353
287	900	350
288	903	347
289	906	343
290	909	340
291	912	337
292	915	334
293	918	331
294	921	328
295	924	324
296	928	321
297	931	318
298	934	315
299	937	312
300	940	309
301	943	306
302	946	302
303	949	299
304	952	296
305	955	293
306	958	290
307	961	287
308	964	284
309	967	280
310	970	277
311	973	274
312	976	271
313	979	268
314	982	265
315	985	262
316	988	258
317	991	255
318	995	252
319	998	249
320	1001	246
321	1004	243
322	1007	240
323	1010	237
324	1014	234
325	1017	230
326	1020	227
327	1023	224
328	1026	221
329	1029	218
330	1032	215
331	1035	212
332	1038	208
333	1041	205
334	1044	202
335	1047	199
336	1051	196
337	1054	193
338	1057	190
339	1060	187
340	1063	183
341	1066	180
342	1069	177
343	1072	174
344	1075	171
345	1078	168
346	1081	165
347	1084	162
348	1087	158
349	1090	155
350	1094	152
351	1097	149
352	1100	146
353	1103	143
354	1106	140
355	1109	137
356	1112	133
357	1115	130
358	1118	127
359	1121	124
360	1124	121
361	1127	118
362	1130	115
363	1133	112
364	1137	109
365	1140	105
366	1143	102
367	1146	99
368	1149	96
369	1152	93
370	1155	90
371	1158	87
372	1161	84
373	1164	80
374	1167	77
375	1170	74
376	1173	71
377	1176	68
378	1179	65
379	1182	62
380	1186	59
381	1189	56
382	1192	52
383	1195	49
384	1198	46
385	1201	43
386	1204	40
387	1207	37
388	1210	34
389	1213	31
390	1216	28
391	1220	24
392	1223	21
393	1226	18
394	1229	15
395	1232	12
396	1235	9
397	1238	6
398	1241	3
399	1244	0
